flight_date,from,to,avg_weeks,target,std_weeks,is_holiday,day_of_year,distance_to_New Year's Day,"distance_to_Birthday of Martin Luther King, Jr.",distance_to_Washington's Birthday,distance_to_Memorial Day,distance_to_Juneteenth National Independence Day,distance_to_Independence Day,distance_to_Labor Day,distance_to_Columbus Day,distance_to_Veterans Day,distance_to_Thanksgiving Day,distance_to_Christmas Day,distance_to_next_holiday,distance_to_previous_holiday,path_distance,from_in_degree,from_out_degree,to_in_degree,to_out_degree,ATL,BOS,CLT,DEN,DFW,DTW,EWR,IAH,JFK,LAS,LAX,LGA,MCO,MIA,MSP,ORD,PHL,PHX,SEA,SFO
2012-06-19,ORD,DFW,12.875,12.331296223099999,9.81264711881,True,171,-170,-153,-122,-22,0,15,77,114,145,159,-177,0,0,1290.645304960658,11.39706514536843,11.387552460182754,11.180310941123327,11.050228394602799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
2012-09-10,LAS,DEN,14.2857142857,10.775181505399999,9.466733735510001,False,254,113,130,161,-105,-83,-68,-6,31,62,76,106,28,3,1009.3646188609899,10.802143255290838,10.858821650818184,10.740916817018693,10.74298222432765,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
2012-10-05,DEN,LAX,10.8636363636,11.0831767533,9.03588325219,False,279,88,105,136,-130,-108,-93,-31,6,37,51,81,3,28,1385.1392038077984,10.740916817018693,10.74298222432765,11.511861025399389,11.51684866108158,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-10-09,ATL,ORD,11.48,11.169267842,7.990202333689999,True,282,84,101,132,-134,-112,-97,-35,2,33,47,77,33,32,976.3278291656196,10.986705272120973,11.05876539475933,11.39706514536843,11.387552460182754,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-02-21,DEN,SFO,11.45,11.269363733099999,9.51715901882,True,52,-51,-34,-3,97,119,134,-170,-133,-102,-88,-58,94,0,1552.7748305694504,10.740916817018693,10.74298222432765,11.293030075679182,11.305858815252616,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-10-20,SFO,LAS,15.2666666667,11.1739361192,9.80827705821,False,293,73,90,121,-145,-123,-108,-46,-9,22,36,66,22,6,664.8915200252193,11.293030075679182,11.305858815252616,10.802143255290838,10.858821650818184,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
2012-01-28,EWR,ORD,8.588235294119999,9.59995239987,6.1650103764,False,28,-27,-10,21,121,143,158,-146,-109,-78,-64,-34,18,7,1154.4536331215895,10.882423693567391,10.833789151901911,11.39706514536843,11.387552460182754,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-05-27,ATL,CLT,10.2380952381,9.17564514329,6.609877169090001,True,148,-147,-130,-99,1,23,38,100,137,168,182,-154,23,96,364.56708046971016,10.986705272120973,11.05876539475933,10.637333582755277,10.52887259422674,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-25,ATL,MSP,12.6,10.7693986302,9.72539630726,False,116,-115,-98,-67,33,55,70,132,169,-166,-152,-122,30,64,1459.7181270186945,10.986705272120973,11.05876539475933,10.920556887948626,10.895829598376196,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-06-23,IAH,LAX,13.6296296296,10.267309839500001,9.17835307897,False,175,-174,-157,-126,-26,-4,11,73,110,141,155,-181,11,4,2215.0734828014647,10.634308645941415,10.77456439726534,11.511861025399389,11.51684866108158,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0
